"","Dolphin.ID","Dolphin.Name","Temporary.Dolphin.Ind","Sex","Sex.Certainty","Mother.ID","Father.ID","Father.ID.Certainty","Father.Notes","Haplotype","Haplotype.Certainty","Haplotype.Kin.ID.Based.On","Haplotype.Kin.DNA.Sample.Based.On","Haplotype.Researcher","Haplotype.Notes","Birth.Date.Accuracy","Birth.Date","Birth.Date.Earliest","Birth.Date.Latest","Birth.Date.Primary.Reason","Birth.Date.Secondary.Reason","Birth.Date.Primary.Assigner","Birth.Date.Secondary.Assigner","Birth.Notes","Death.Date.Accuracy","Death.Date","Death.Date.Primary.Reason","Death.Date.Secondary.Reason","Death.Date.Calc.Type","Death.Date.Primary.Assigner","Death.Date.Secondary.Assigner","Death.Notes","Weaning.Date.Accuracy","Weaning.Date","Weaning.Date.Primary.Reason","Weaning.Date.Secondary.Reason","Weaning.Date.Calc.Type","Weaning.Date.Primary.Assigner","Weaning.Date.Secondary.Assigner","Weaning.Age.Known","Weaning.Notes","Last.Seen.Year","Dolphin.Notes"
"14","COI","COOLIO","False","FEMALE","HIGH","GRV","","","sequenced","D","","",NA,"","","YEAR ESTIMATE",1999-11-01,"","","","","JM","","","","","","","","","","","MONTH ESTIMATE","2003-01-15","","","MIDPOINT","JM","","NO","birthdate uncertain",NA,"large calf based on photos"
"15","COP","COPPERTONE","False","FEMALE","HIGH","UVE","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","MONTH ESTIMATE",2001-11-01,"","","SPRING SUMMER YOY","","JJW","","CALF LOOKS LIKE YOY - 24AUG02 BY JJW","","","","","","","","","MONTH ESTIMATE","2005-08-31","REDUCED MC ASSOCIATION","GAP","MIDPOINT","SAS","","YES","",2004,""
"16","CYC","CYCLONE","False","","","SKW","","","","","","",NA,"","","MONTH ESTIMATE",1995-11-01,"","","SPRING SUMMER YOY","","JM","","NO SIZE INFORMATION","YEAR ESTIMATE","1998-07-27","SIGHTING RECORD POOR","SIBLING BIRTH","","JM","","BirthdateUncertainnot sure if weaned or dead","MONTH ESTIMATE","1998-07-27","SIBLING BIRTH","REDUCED MC ASSOCIATION","MIDPOINT","JM","","NO","MIDPT, BUT ALSO BIRTH OF HURRICANE, SO PROBABLY WEANED, IF SURVIVED BY JULY 98",1997,""
"17","CYN","CYAN","False","UNKNOWN","","IND","","","","H","","",NA,"","","YEAR ESTIMATE",2007-11-01,"2007-11-01","2008-11-01","","","JM","","","","","STOPPED SIGHTING POST WEANING","","","","","Fin not very distinctive.","MONTH ESTIMATE","2011-02-26","","","MIDPOINT","SAS","","NO","",NA,"RCC thought CYN looked 2 yrs old at first sight in Aug 2010. Gap in sightings so need to check records."
"18","DAI","DAISY","False","MALE","HIGH","TUL","","","","C","","",NA,"","","MONTH ESTIMATE",2008-09-01,"","","INFANT FIRST SIGHT","","JM","","","","","","","","","","","MONTH ESTIMATE","2012-03-23","","","MIDPOINT","SAS","","YES","",NA,""
"19","DAS","DASANI","False","UNKNOWN","","BRT","","","","","","",NA,"","","YEAR ESTIMATE",2008-11-01,"2006-11-01","2009-11-01","GAP","","JM","","not a yoy... Brita had Evian soon after first sighting of DAS so the calf must have been old and weaned right after (before Evians birth)","","","","","","","","","MONTH ESTIMATE","2012-11-01","SIBLING BIRTH","","OTHER","JM","","YES","",NA,""
"20","DBT","DOUBT","False","MALE","HIGH","SHO","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","MONTH ESTIMATE",2005-11-01,"","","SPRING SUMMER YOY","","JM","","YOY","YEAR ESTIMATE","2019-05-01","OVER 3 YEARS","","DEFAULT DATE","JM","MHM","","MONTH ESTIMATE","2009-05-01","","","DEFAULT DATE","JM","","YES","sho seen 4-nov-09 with new calf whr (dbt not there)",2007,""
"21","DER","DERBY","False","MALE","HIGH","AMP","","","","A","","",NA,"","","YEAR ESTIMATE",1998-11-01,"1997-11-01","1998-11-01","","","JM","","MK sighted in 1999 so that should be first sighting date.","","","","","","","","","YEAR ESTIMATE","2002-05-01","SIBLING BIRTH","","OTHER","JM","","NO","",NA,"based on photos and PRS (next calf) birth."
"22","DLO","DREADLOCK","False","","","REG","","","","D","","",NA,"","","MONTH ESTIMATE",2004-11-01,"","","SPRING SUMMER YOY","","JM","","YOY","","","STOPPED SIGHTING POST WEANING","","","","","DLO could be around Peron somewhere. Not distinctive. Not a beacher.","","","","","","","","NO","",2006,""
"23","DMP","DAMP","False","","","SOG","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","WEEK ESTIMATE",2006-01-15,"","","INFANT FIRST SIGHT","","JM","","CHECCONIS SIGHTED ON 8-APRIL; JM ON 15-APR-06, ESTIMATED 4-5 MOS. NO FETAL LINES- COULD BE A LITTLE YOUNGER THAN HUFF; BALMY DIED END OF NOV 04, SO WOULD TAKE SOGGY 6 WKS TO CONCEIVE AGAIN.","YEAR ESTIMATE","2009-05-01","STOPPED SIGHTING POST WEANING","","DEFAULT DATE","","","Distinctive shape but could have changed.","MONTH ESTIMATE","2009-04-13","","","MIDPOINT","JM","","YES","",2007,""
"24","DUM","DUMBO","False","UNKNOWN","","DUR","","","","","","",NA,"","","MONTH ESTIMATE",2009-12-01,"2009-11-01","2010-01-01","","","JM","","","MONTH ESTIMATE","2010-07-17","DEAD PREWEANING","","MIDPOINT","JM","","","","","","","","","","","",NA,"smaller than other yoy that looks 5-6  months old but doesn't look only 4 mos either (JM)."
"25","EDE","EDEN","False","FEMALE","HIGH","PIC","","","","E","","",NA,"","","DAY ESTIMATE",2003-11-19,"","","INFANT FIRST SIGHT","","AS","","DF FOLDED TO RIGHT, FLOPPY FLUKES, FETAL FOLDS, EYES OPEN, GOOD WEIGHT BUT SMALL OVERALL (CALF FIRST SITED AT THE BEACH FEED ON NOV20TH AT 8:11AM)","","","","","","","","","WEEK ESTIMATE","2007-06-03","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","DATE NOT BP OR WITH MUM IS FROM ONSHORE OBSERVATIONS",2007,""
"26","EPC","EPICURE","False","FEMALE","HIGH","TST","","","","A","","",NA,"","","YEAR ESTIMATE",1990-11-01,"1989-11-01","1990-11-01","ASSIGNED 10 YRS","","EK","JM","SSSS data indicate EPC was a little bit older than the 1992 10 yr assignment but her mother TST would have been 11 or 12 in 1990.","","","","","","","","","","","","","","","","","",NA,""
"27","EUC","EUCALYPT","False","","","CED","","","","","","",NA,"","","MONTH ESTIMATE",2003-11-01,"","","","","JM","","looks 1.5 in photos-JM; CED with males in 2002; 30-Apr-06 ""not yoy""-JM","YEAR ESTIMATE","","UNCERTAIN SURVIVAL STATUS PREWEANING","GAP","","JM","","Was old enough so could have been weaned. But not sighted since.","","","","","","","","NO","",2006,""
"28","FRK","FRECKLE","False","FEMALE","HIGH","SPE","","","haplotype assigned based on haplotype of mother","H","","",NA,"","","MONTH ESTIMATE",2008-01-01,"","","INFANT FIRST SIGHT","","CCC","JM","looks v.small from photos, matched to NWS based on genetics and NWS age estimate matches","","","","","","","","","MONTH ESTIMATE","2011-05-01","REDUCED MC ASSOCIATION","SIBLING BIRTH","DEFAULT DATE","JM","VF","YES","EK sighted SPE without calf in 2010 but was probably a separation, then saw SPE 29Jun11 without FRK",NA,"matched to NWS-NEWSER based on genetics"
"29","FSB","FRISBY","False","FEMALE","HIGH","FRL","PAS","HIGH","SNPs and both parents sequenced.","E","","",NA,"","","WEEK ESTIMATE",2007-11-01,"","","INFANT FIRST SIGHT","","JM","","FETAL LINES-FAINT, ABOUT 2 MOS.","","","","","","","","","MONTH ESTIMATE","2011-02-20","","","MIDPOINT","SAS","","YES","",2008,"DNA sexing CFs sample"
"30","FUT","FLUTE","False","FEMALE","HIGH","PIC","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","DAY ESTIMATE",2007-11-13,"","","INFANT FIRST SIGHT","","DIC","","HOURS OLD, FIN FLOPPED, FETAL FOLDS","","","","","","","","","WEEK ESTIMATE","2011-05-01","","","DEFAULT DATE","JM","","YES","JM says she remembers rangers saying FUT was only just weaned when we arrived in May 2011.",2007,""
"31","GNR","GONER","False","","","GAF","","","","","","",NA,"","","YEAR ESTIMATE",2000-11-01,"1997-11-01","2000-11-01","GAP","","VF","JM","Mom last seen 11-Feb-97; calf first seen 3-Aug-01. No size info.","","","UNCERTAIN SURVIVAL STATUS PREWEANING","","","","","Last sighting date 3-Aug-01; if it was older at first sighting it could weaned before next calf. If it was young, it likely died pre-weaning.","","","","","","","","","",NA,""
"32","GOF","GOOF","False","","","GAF","","","","","","",NA,"","","MONTH ESTIMATE",2003-06-01,"2003-05-01","2003-09-01","SSSS","","JM","","NO SIZE INFORMATION. First seen 29-Sep-05.","","","STOPPED SIGHTING POST WEANING","","","JM","","Fin not distinctive. Could have changed.","MONTH ESTIMATE","2006-08-01","SIBLING BIRTH","","OTHER","JM","VF","YES","NEED TO CHECK MK 2005 FILM TO DETERMINE IF OLD OR YOUNG CALF; GAF COULD HAVE HAD ANOTHER CALF BETWEEN SIGHTINGS - checked 2024; goof must have been weaned based on poof's birthday, but couldn't have been older than 2 or 3 in 2005.",2001,""
"33","GUA","GUARD","False","FEMALE","HIGH","RSH","DAG","HIGH","SNP data both parents.","H","","",NA,"","","MONTH ESTIMATE",2006-11-01,"","","INFANT FIRST SIGHT","","JM","","INFANT FIRST SIGHT SHEET","","","","","","","","","MONTH ESTIMATE","2010-11-01","SIBLING BIRTH","","OTHER","JM","","YES","",2007,""
"34","GVT","GRAVITY","False","UNKNOWN","","JMY","","","maternal relative","H","","",NA,"","","MONTH ESTIMATE",2008-11-01,"2008-09-01","2009-01-01","","","AMK","","","MONTH ESTIMATE","2010-03-21","DEAD PREWEANING","","MIDPOINT","SAS","","JMY sighted with males twice in 2010: 17-Oct-10 and 1-Nov-10 by EK","","","","","","","","","",NA,""
"35","HOW","HOWHIGH","False","FEMALE","HIGH","JUM","DRL","","","D","","",NA,"","","MONTH ESTIMATE",2001-11-01,"","","SPRING SUMMER YOY","","AS","","FROM 28JAN03 AS/CF SIGHTING: CALF 2-3 YEARS OLD","","","","","","","","","MONTH ESTIMATE","2006-03-20","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","JUM CONSORTED IN 2004; RCC NOVEMBER 2005 NOT ENTERED",2004,""
"36","HUR","HURRICANE","False","","","SKW","","","","","","",NA,"","","MONTH ESTIMATE",1998-11-01,"","","SPRING SUMMER YOY","","JM","","YOY","","","STOPPED SIGHTING POST WEANING","","","","","Photos not good enough to track postweaning.","MONTH ESTIMATE","2002-01-29","SIBLING BIRTH","","","JM","","YES","BASED ON BIRTH OF TYH but also possible sighting of HUR in group with SKW in 2001 based on DDFIC photo and large group.",2002,""
"37","HYR","HYRAX","False","FEMALE","HIGH","IBX","","","haplotype assigned based on haplotype of mother","D","","",NA,"","","MONTH ESTIMATE",2006-12-01,"","","INFANT FIRST SIGHT","","JM","","JM estimates 1.5 yr","","","","","","","","","MONTH ESTIMATE","2011-01-24","REDUCED MC ASSOCIATION","","MIDPOINT","SAS","","YES","",NA,""
"38","IRD","INFRARED","False","UNKNOWN","","UVE","","","maternal relative","A","","",NA,"","","MONTH ESTIMATE",2005-12-01,"2005-11-01","2006-02-01","SPRING SUMMER YOY","","JM","","Looks small and skinny at first sighting so could be 5-7 months.","MONTH ESTIMATE","2006-09-13","DEAD PREWEANING","","MIDPOINT","EK","","Calf was skinny","","","","","","","","","",NA,"MK gave no age information so we based it on photos."
"39","IRI","IRIS","False","UNKNOWN","","IGB","","","","","","",NA,"","","YEAR ESTIMATE",2009-11-01,"","","","","EK","JM","changed to 3 years at first sight given birth of next calf.  Clearly and older calf at first sight.","","","STOPPED SIGHTING POST WEANING","","","","","We have good enough sweeps to ID but fin could have changed.","MONTH ESTIMATE","2013-05-01","SIBLING BIRTH","","DEFAULT DATE","JM","","NO","IRI wean date based on sibling birth but birthdate not well known.",NA,""
"40","JIV","JIVE","False","UNKNOWN","","GRV","","","maternal relative","D","","",NA,"","","MONTH ESTIMATE",2009-11-01,"2009-09-01","2010-02-01","","","EMP","","yoy was only info, seen 11-jun-10","","","","","","","","","MONTH ESTIMATE","2012-05-01","SIBLING BIRTH","","DEFAULT DATE","EK","JM","YES","",NA,""
"41","JMC","JAMAICA","False","FEMALE","HIGH","REG","","","maternal relative","D","","",NA,"","","MONTH ESTIMATE",2007-11-01,"","","INFANT FIRST SIGHT","","JM","","yoy","","","","","","","","","MONTH ESTIMATE","2011-09-10","SIBLING BIRTH","","MIDPOINT","JM","","YES","JMC still with REG after NTA birth. Weaning date is midpoint between last BP and NTA birth.",NA,""
"42","JTB","JITTERBUG","False","UNKNOWN","","JBG","","","","","","",NA,"","","YEAR ESTIMATE",2007-11-01,"2006-11-01","2007-11-01","","","EK","","","","","","","","","","","MONTH ESTIMATE","2011-04-16","","","MIDPOINT","SAS","","NO","",NA,"EK est 2.5-3 yrs at first sight, JBG was being consorted at first sight"
"43","KAH","KAHN","False","MALE","HIGH","CED","","","","","","",NA,"","","MONTH ESTIMATE",1998-11-01,"","","","MOTHER FIRST SIGHT WITH CALF","JM","","yoy based on photos-JM","","","","","","","","","MONTH ESTIMATE","2003-05-01","","","DEFAULT DATE","SAS","","YES","assigned default date before EUC birth",NA,""
"44","KGB","KISSGOODBYE","False","","","KIY","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","WEEK ESTIMATE",2008-12-20,"","","PREGNANCY","","JM","","calf never seen; kiya didn't come into MM since mid-Dec, check DIC notes","DAY ESTIMATE","2008-12-22","","","","JM","","kiya pregnant then absent from MM for weeks; seen with lots of males; guessing that Kiya lost newborn immediately; DIC reports Kiy with males Jan 17-2009","","","","","","","","DIED PREWEANING","",NA,""
"45","KHA","KHAMUN","False","FEMALE","HIGH","KIY","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","DAY ESTIMATE",2009-12-27,"2009-12-26","2009-12-27","","","CCC","JM","CCC saw Kiya evening before birth","DAY ESTIMATE","2010-08-21","DEAD PREWEANING","","MIDPOINT","DIC","","","","","","","","","","","",NA,"Checconis (CCC) saw Kiya on 26-Dec without calf and seen 27-Dec early morning with calf who had difficulty surfacing etc. estimated a few hours old. KHA is much smaller than SAMU (who is 15 days older)"
"46","KKT","KITKAT","False","UNKNOWN","","HRS","","","maternal relative","H","","",NA,"","","MONTH ESTIMATE",2009-11-01,"2008-11-01","2009-11-01","GAP","","JM","","We have no pics of KKT and it seems photos were mixed up with SSI so we are not completely sure if KKT exists as this is the only sighting. POS and HRS were mixed up at bow and so some confusion about KKT.","YEAR ESTIMATE","2011-07-17","UNCERTAIN SURVIVAL STATUS PREWEANING","","MIDPOINT","EK","JM","Fin not distinctive and DDFIC shot is crap.","","","","","","","","DIED PREWEANING","",NA,"EMP est 1-yr but gap in sightings 2007-2009. SSI>KKT but is Yoy bc POS w/o calf 2009."
"47","LFG","LEAPFROG","False","MALE","HIGH","JUM","","","haplotype assigned based on haplotype of mother","D","","",NA,"","","WEEK ESTIMATE",2008-01-03,"","","INFANT FIRST SIGHT","","JM","","see infant first sight","MONTH ESTIMATE","2013-05-01","SIGHTED OFTEN PREVIOUSLY","OVER 3 YEARS","DEFAULT DATE","JM","","Sighted once post weaning. Possibly moved into HB but not seen for 3 years.","MONTH ESTIMATE","2011-04-25","","","MIDPOINT","EK","","YES","",NA,""
"48","LIS","LISTEN","False","","","REG","","","maternal relative","D","","",NA,"","","YEAR ESTIMATE",1988-11-01,"","","MOTHER FIRST SIGHT WITH CALF","","JM","","NO SURVEY RECORD; JM AND AFR PHOTOGRAPHED FROM BEACH IN 1991","","","STOPPED SIGHTING POST WEANING","","","","","","MONTH ESTIMATE","1992-05-01","REDUCED MC ASSOCIATION","SIBLING BIRTH","","JM","","NO","Listen still with Reggae 31Mar92. Put weaning date at 1May92 for default (the earlier 1993 was an error). Ragtime born 1Nov92, first sighting is 24Mar93.",NA,""
"49","LNC","LANCEARMSTRONG","False","","","LIF","","","","","","",NA,"","","MONTH ESTIMATE",2005-12-01,"","","INFANT FIRST SIGHT","","JM","","YOY (MUST BE DEC BIRTH BECAUSE OF SIF'S DEATH AND TIME FOR LIF TO GET PREGNANT)","MONTH ESTIMATE","2007-07-16","DEAD PREWEANING","","MIDPOINT","JM","","LNC with LIF in July 2006.  LIF was sighted without LNC and with males in July 2008.","","","","","","","","DIED PREWEANING","",2006,""
"50","LUG","LUGH","False","MALE","HIGH","LIF","","","","","","",NA,"","","YEAR ESTIMATE",1999-11-01,"","","GAP","","JM","","NO SIZE INFORMATION","","","","","","","","","YEAR ESTIMATE","2003-04-19","","REDUCED MC ASSOCIATION","MIDPOINT","JM","","NO","RCC HAS PHOTOS: 26-JUL-01 RCS5: 16-19 - LOOK AT THESE FOR A BETTER AGE ESTIMATE",2004,""
"51","MEO","MEOW","False","FEMALE","HIGH","AMP","","","","A","HIGH","AMP",NA,"","","YEAR ESTIMATE",1994-11-01,"1993-11-01","1995-11-01","REPRODUCTIVE AGE","SSSS","EK","JM","We do not think she had calf ROR and that PURR is her first calf.  She looks clean speckle wise so bday is pretty work. We think ROR was really ORY in social BP from 2004 sighting. Her first calf was PURR and her speckles match repro age estimate.","","","","","","","","","YEAR ESTIMATE","1998-05-01","SIBLING BIRTH","","DEFAULT DATE","VF","MHM","NO","No sightings of MEO as a calf; AMP first seen on 22-Aug-1999 with Derby (1-Nov-98 birthdate).",NA,"Matched to AMP with DNA. Earliest DOB assigned assumed 33 at birth of PRR. But bday assigned as default of 10 yr at first sighting by rcc in 2003. she is likely in our records as a juvie from before that. probably not that old given her fin/appearance."
"52","MEY","MARLEY","False","MALE","HIGH","REG","","","","D","","",NA,"","","MONTH ESTIMATE",2001-11-01,"","","SPRING SUMMER YOY","","BLS","","FIRST FOCAL BY BLS; YOY","MONTH ESTIMATE","2010-05-01","OVER 3 YEARS","","DEFAULT DATE","EK","JM","Fin could have changed but he has a distinctive scar on right side DF.","MONTH ESTIMATE","2004-09-14","SIBLING BIRTH","","","JM","","YES","MIDPOINT BETWEEN LAST SIGHT WITH MOM AND ESTIMATED BIRTHDAY OF NEXT CALF (DLO)",2004,""
"53","MFY","MAYFLY","False","UNKNOWN","","JBG","","","","","","",NA,"","","MONTH ESTIMATE",2002-11-01,"2002-09-01","2003-01-01","","MOTHER FIRST SIGHT WITH CALF","RCC","","","","","UNCERTAIN SURVIVAL STATUS PREWEANING","GAP","","","","","","","","","","","","NO","",NA,""
"54","MIG","MIGHTY","False","MALE","HIGH","MOU","PRI","","","A","","",NA,"","","WEEK ESTIMATE",2003-11-15,"","","INFANT FIRST SIGHT","","AS","","DF ERECT, MAY HAVE WAVY TRAILING EDGE, FETAL FOLDS, NORMAL AND CHIN SLAP SURFACING IN BEAUFORT 4, NORMAL WEIGHT, SAME SIZE AS ED","","","","","","","","","MONTH ESTIMATE","2007-12-29","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","",2007,""
"55","MNS","MONSOON","False","MALE","HIGH","TOR","","","sequenced","E","","",NA,"","","YEAR ESTIMATE",2009-11-01,"","","","","JM","","about 2 years old, bigger than MGU","","","","","","","","","WEEK ESTIMATE","2013-06-25","","","MIDPOINT","JM","","YES","",NA,""
"56","MZT","MOZART","False","MALE","HIGH","SCH","RSP","LOW","Based on SNPs","H","","",NA,"","","MONTH ESTIMATE",2008-11-01,"","","SPRING SUMMER YOY","","EK","","yoy","","","","","","","","","YEAR ESTIMATE","2012-05-01","","","DEFAULT DATE","JM","","NO","SCH without MZT and looking pregnant on 8-Jul-12. MZT sighted without SCH on 31-Jul-12.",NA,""
"57","OPE","OPERA","False","MALE","HIGH","PHA","PON","HIGH","paternity based on snps","A","","",NA,"","","WEEK ESTIMATE",2007-12-01,"","","INFANT FIRST SIGHT","","JM","","INFANTFIRSTSIGHTINFO","","","","","","","","","WEEK ESTIMATE","2011-10-20","","","MIDPOINT","SAS","","YES","OPE sighted without PHA 11-Dec-11",2007,""
